LOCALIDADE;CEP INICIAL
GOIATUBA;75600000
GOUVELÂNDIA;75865000
GUAPÓ;75350000
GUARAÍTA;76690000
GUARANI DE GOIÁS;73910000
GUARINOS;76374000
HEITORAÍ;76670000
HIDROLÂNDIA;75340000
HIDROLINA;76375000
IACIARA;73920000
INACIOLÂNDIA;75550000
INDIARA;75955000
INHUMAS;75400000
IPAMERI;75780000
IPIRANGA DE GOIÁS;76304000
IPORÁ;76200000
ISRAELÂNDIA;76205000
ITABERAÍ;76630000
ITAGUARI;76650000
ITAGUARU;76660000
ITAJÁ;75815000
ITAPACI;76360000
ITAPIRAPUÃ;76290000
ITAPURANGA;76680000
ITARUMÃ;75810000
ITAUÇU;75450000
ITUMBIARA;75500001
IVOLÂNDIA;76130000
JANDAIA;75950000
JARAGUÁ;76330000
JATAÍ;75800001
JAUPACI;76210000
JESÚPOLIS;75495000
JOVIÂNIA;75610000
JUSSARA;76270000
LAGOA SANTA;75819000
LEOPOLDO DE BULHÕES;75190000
LUZIÂNIA;72800001
MAIRIPOTABA;75630000
MAMBAÍ;73970000
MARA ROSA;76490000
MARZAGÃO;75670000
MATRINCHÃ;76730000
MAURILÂNDIA;75930000
MIMOSO DE GOIÁS;73730000
MINAÇU;76450000
MINEIROS;75830000
MOIPORÁ;76135000
MONTE ALEGRE DE GOIÁS;73830000
MONTES CLAROS DE GOIÁS;76255000
MONTIVIDIU;75915000
MONTIVIDIU DO NORTE;76465000
MORRINHOS;75650000
MORRO AGUDO DE GOIÁS;76355000
MOSSÂMEDES;76150000
MOZARLÂNDIA;76700000
MUNDO NOVO;76530000
MUTUNÓPOLIS;76540000
NAZÁRIO;76180000
NERÓPOLIS;75460000
NIQUELÂNDIA;76420000
NOVA AMÉRICA;76345000
NOVA AURORA;75750000
NOVA CRIXÁS;76520000
NOVA GLÓRIA;76305000
NOVA IGUAÇU DE GOIÁS;76495000
NOVA ROMA;73820000
NOVA VENEZA;75470000
NOVO BRASIL;76285000
NOVO GAMA;72860001
NOVO PLANALTO;76580000
ORIZONA;75280000
OURO VERDE DE GOIÁS;75165000
OUVIDOR;75715000
PADRE BERNARDO;73700000
PALESTINA DE GOIÁS;75845000
PALMEIRAS DE GOIÁS;76190000
PALMELO;75210000
PALMINÓPOLIS;75990000
PANAMÁ;75580000
PARANAIGUARA;75880000
PARAÚNA;75980000
PEROLÂNDIA;75823000
PETROLINA DE GOIÁS;75480000
PILAR DE GOIÁS;76372000
PIRACANJUBA;75640000
PIRANHAS;76230000
PIRENÓPOLIS;72980000
PIRES DO RIO;75200000
PLANALTINA;73750001
PONTALINA;75620000
PORANGATU;76550000
PORTEIRÃO;75603000
PORTELÂNDIA;75835000
POSSE;73900000
PROFESSOR JAMIL;75645000
QUIRINÓPOLIS;75860000
RIALMA;76310000
RIANÁPOLIS;76315000
RIO QUENTE;75695000
RIO VERDE;75900001
RUBIATABA;76350000
SANCLERLÂNDIA;76160000
SANTA BÁRBARA DE GOIÁS;75398000
SANTA CRUZ DE GOIÁS;75220000
SANTA FÉ DE GOIÁS;76265000
SANTA HELENA DE GOIÁS;75920000
SANTA ISABEL;76320000
SANTA RITA DO ARAGUAIA;75840000
SANTA RITA DO NOVO DESTINO;76395000
SANTA ROSA DE GOIÁS;75455000
SANTA TEREZA DE GOIÁS;76480000
SANTA TEREZINHA DE GOIÁS;76500000
SANTO ANTÔNIO DA BARRA;75935000
SANTO ANTÔNIO DE GOIÁS;75375000
SANTO ANTÔNIO DO DESCOBERTO;72900001
SÃO DOMINGOS;73860000
SÃO FRANCISCO DE GOIÁS;75490000
SÃO JOÃO D'ALIANÇA;73760000
SÃO JOÃO DA PARAÚNA;75985000
SÃO LUÍS DE MONTES BELOS;76100000
SÃO LUIZ DO NORTE;76365000
SÃO MIGUEL DO ARAGUAIA;76590000
SÃO MIGUEL DO PASSA QUATRO;75185000
SÃO PATRÍCIO;76343000
SÃO SIMÃO;75890000
SENADOR CANEDO;75250001
SERRANÓPOLIS;75820000
SILVÂNIA;75180000
SIMOLÂNDIA;73930000
SÍTIO D'ABADIA;73990000
TAQUARAL DE GOIÁS;76640000
TERESINA DE GOIÁS;73795000
TEREZÓPOLIS DE GOIÁS;75175000
TRÊS RANCHOS;75720000
TRINDADE;75380001
TROMBAS;76460000
TURVÂNIA;76110000
TURVELÂNDIA;75970000
UIRAPURU;76525000
URUAÇU;76400000
URUANA;76335000
URUTAÍ;75790000
VALPARAÍSO DE GOIÁS;72870001
VARJÃO;75355000
VIANÓPOLIS;75265000
VICENTINÓPOLIS;75555000
VILA BOA;73825000
VILA PROPÍCIO;76393000
AÇAILÂNDIA;65930000
AFONSO CUNHA;65505000
ÁGUA DOCE DO MARANHÃO;65578000
ALCÂNTARA;65250000
ALDEIAS ALTAS;65610000
ALTAMIRA DO MARANHÃO;65310000
ALTO ALEGRE DO MARANHÃO;65413000
ALTO ALEGRE DO PINDARÉ;65398000
ALTO PARNAÍBA;65810000
AMAPÁ DO MARANHÃO;65293000
AMARANTE DO MARANHÃO;65923000
ANAJATUBA;65490000
ANAPURUS;65525000
APICUMAÇU;65275000
ARAGUANÃ;65368000
ARAIÓSES;65570000
ARAME;65945000
ARARI;65480000
AXIXÁ;65148000
BACABAL;65700000
BACABEIRA;65143000
BACURI;65270000
BACURITUBA;65233000
BALSAS;65800000
BARÃO DE GRAJAÚ;65660000
BARRA DO CORDA;65950000
BARREIRINHAS;65590000
BELA VISTA DO MARANHÃO;65335000
BELÁGUA;65535000
BENEDITO LEITE;65885000
BEQUIMÃO;65248000
BERNARDO DO MEARIM;65723000
BOA VISTA DO GURUPI;65292000
BOM JARDIM;65380000
BOM JESUS DAS SELVAS;65395000
BOM LUGAR;65704000
BREJO;65520000
BREJO DE AREIA;65315000
BURITI;65515000
BURITI BRAVO;65685000
BURITICUPU;65393000
BURITIRANA;65935500
CACHOEIRA GRANDE;65165000
CAJAPIÓ;65230000
CAJARI;65210000
CAMPESTRE DO MARANHÃO;65968000
CÂNDIDO MENDES;65280000
CANTANHEDE;65465000
CAPINZAL DO NORTE;65735000
CAROLINA;65980000
CARUTAPERA;65295000
CAXIAS;65600001
CEDRAL;65260000
CENTRAL DO MARANHÃO;65267000
CENTRO DO GUILHERME;65288000
CENTRO NOVO DO MARANHÃO;65299000
CHAPADINHA;65500000
CIDELÂNDIA;65921000
CODÓ;65400000
COELHO NETO;65620000
COLINAS;65690000
CONCEIÇÃO DO LAGOAÇU;65340000
COROATÁ;65415000
CURURUPU;65268000
DAVINÓPOLIS;65927000
DOM PEDRO;65765000
DUQUE BACELAR;65625000
ESPERANTINÓPOLIS;65750000
ESTREITO;65975000
FEIRA NOVA DO MARANHÃO;65995000
FERNANDO FALCÃO;65964000
FORMOSA DA SERRA NEGRA;65943000
FORTALEZA DOS NOGUEIRAS;65805000
FORTUNA;65695000
GODOFREDO VIANA;65285000
GONÇALVES DIAS;65775000
GOVERNADOR ARCHER;65770000
GOVERNADOR EDSON LOBÃO;65928000
GOVERNADOR EUGÊNIO BARROS;65780000
GOVERNADOR LUIZ ROCHA;65795000
GOVERNADOR NEWTON BELLO;65363000
GOVERNADOR NUNES FREIRE;65284000
GRAÇA ARANHA;65785000
GRAJAÚ;65940000
GUIMARÃES;65255000
HUMBERTO DE CAMPOS;65180000
ICATU;65170000
IGARAPÉ DO MEIO;65345000
IGARAPÉ GRANDE;65720000
IMPERATRIZ;65900001
ITAIPAVA DO GRAJAÚ;65948000
ITAPECURU MIRIM;65485000
ITINGA DO MARANHÃO;65939000
JATOBÁ;65693000
JENIPAPO DOS VIEIRAS;65962000
JOÃO LISBOA;65922000
JOSELÂNDIA;65755000
JUNCO DO MARANHÃO;65294000
LAGO DA PEDRA;65715000
LAGO DO JUNCO;65710000
LAGO DOS RODRIGUES;65712000
LAGO VERDE;65705000
LAGOA DO MATO;65683000
LAGOA GRANDE DO MARANHÃO;65718000
LAJEADO NOVO;65937000
LIMA CAMPOS;65728000
LORETO;65895000
LUÍS DOMINGUES;65290000
MAGALHÃES DE ALMEIDA;65560000
MARACAÇUMÉ;65289000
MARAJÁ DO SENA;65714000
MARANHÃOZINHO;65283000
MATA ROMA;65510000
MATINHA;65218000
MATÕES;65645000
MATÕES DO NORTE;65468000
MILAGRES DO MARANHÃO;65545000
MIRADOR;65850000
MIRANDA DO NORTE;65495000
MIRINZAL;65265000
MONÇÃO;65360000
MONTES ALTOS;65936000
MORROS;65160000
NINA RODRIGUES;65450000
NOVA COLINAS;65808000
NOVA IORQUE;65880000
NOVA OLINDA DO MARANHÃO;65274000
OLHO D'ÁGUA DAS CUNHÃS;65706000
OLINDA NOVA DO MARANHÃO;65223000
PAÇO DO LUMIAR;65130000
PALMEIRÂNDIA;65238000
PARAIBANO;65670000
PARNARAMA;65640000
PASSAGEM FRANCA;65680000
PASTOS BONS;65870000
PAULINO NEVES;65585000
PAULO RAMOS;65716000
PEDREIRAS;65725000
PEDRO DO ROSÁRIO;65206000
PENALVA;65213000
PERI MIRIM;65245000
PERITORÓ;65418000
PINDARÉ MIRIM;65370000
PINHEIRO;65200000
PIO XII;65707000
PIRAPEMAS;65460000
POÇÃO DE PEDRAS;65740000
PORTO FRANCO;65970000
PORTO RICO DO MARANHÃO;65263000
PRESIDENTE DUTRA;65760000
PRESIDENTE JUSCELINO;65140000
PRESIDENTE MÉDICI;65279000
PRESIDENTE SARNEY;65204000
PRESIDENTE VARGAS;65455000
PRIMEIRA CRUZ;65190000
RAPOSA;65138000
RIACHÃO;65990000
RIBAMAR FIQUENE;65938000
ROSÁRIO;65150000
SAMBAÍBA;65830000
SANTA FILOMENA DO MARANHÃO;65768000
SANTA HELENA;65208000
SANTA INÊS;65300001
SANTA LUZIA;65390000
SANTA LUZIA DO PARUÁ;65272000
SANTA QUITÉRIA DO MARANHÃO;65540000
SANTA RITA;65145000
SANTANA DO MARANHÃO;65555000
SANTO AMARO;65195000
SANTO ANTÔNIO DOS LOPES;65730000
SÃO BENEDITO DO RIO PRETO;65440000
SÃO BENTO;65235000
SÃO BERNARDO;65550000
SÃO DOMINGOS DO AZEITÃO;65888000
SÃO DOMINGOS DO MARANHÃO;65790000
SÃO FÉLIX DE BALSAS;65890000
SÃO FRANCISCO DO BREJÃO;65929000
SÃO FRANCISCO DO MARANHÃO;65650000
SÃO JOÃO BATISTA;65225000
SÃO JOÃO DO CARÚ;65385000
SÃO JOÃO DO PARAÍSO;65973000
SÃO JOÃO DO SÓTER;65615000
SÃO JOÃO DOS PATOS;65665000
SÃO JOSÉ DE RIBAMAR;65110000
SÃO JOSÉ DOS BASÍLIOS;65762000
SÃO LUÍS;65000001
SÃO LUÍS GONZAGA DO MARANHÃO;65708000
SÃO MATEUS DO MARANHÃO;65470000
SÃO PEDRO DA ÁGUA BRANCA;65920000
SÃO PEDRO DOS CRENTES;65978000
SÃO RAIMUNDO DAS MANGABEIRAS;65840000
SÃO RAIMUNDO DO DOCA BEZERRA;65753000
SÃO ROBERTO;65758000
SÃO VICENTE FERRER;65220000
SATUBINHA;65709000
SENADOR ALEXANDRE COSTA;65783000
SENADOR LA ROQUE;65935000
SERRANO DO MARANHÃO;65269000
SÍTIO NOVO;65925000
SUCUPIRA DO NORTE;65860000
SUCUPIRA DO RIACHÃO;65668000
TASSO FRAGOSO;65820000
TIMBIRAS;65420000
TIMON;65630001
TRIZIDELA DO VALE;65727000
TUFILÂNDIA;65378000
TUNTUM;65763000
TURIAÇU;65278000
TURILÂNDIA;65276000
TUTÓIA;65580000
URBANO SANTOS;65530000
VARGEM GRANDE;65430000
VIANA;65215000
VILA NOVA DOS MARTÍRIOS;65924000
VITÓRIA DO MEARIM;65350000
VITORINO FREIRE;65320000
ZÉ DOCA;65365000
ABADIA DOS DOURADOS;38540000
ABAETÉ;35620000
ABRE CAMPO;35365000
ACAIACA;35438000
AÇUCENA;35147000
ÁGUA BOA;39790000
ÁGUA COMPRIDA;38110000
AGUANIL;37273000
ÁGUAS FORMOSAS;39880000
ÁGUAS VERMELHAS;39990000
AIMORÉS;35200000
AIURUOCA;37450000
ALAGOA;37458000
ALBERTINA;37596000
ALÉM PARAÍBA;36660000
ALFENAS;37130001
ALFREDO VASCONCELOS;36272000
ALMENARA;39900000
ALPERCATA;35138000
ALPINÓPOLIS;37940000
ALTEROSA;37145000
ALTO CAPARAÓ;36979000
ALTO JEQUITIBÁ;36976000
ALTO RIO DOCE;36260000
ALVARENGA;35249000
ALVINÓPOLIS;35950000
ALVORADA DE MINAS;39140000
AMPARO DA SERRA;35444000
ANDRADAS;37795000
ANDRELÂNDIA;37300000
ANGELÂNDIA;39685000
ANTÔNIO CARLOS;36220000
ANTÔNIO DIAS;35177000
ANTÔNIO PRADO DE MINAS;36850000
ARAÇAÍ;35777000
ARACITABA;36255000
ARAÇUAÍ;39600000
ARAGUARI;38440001
ARANTINA;37360000
ARAPONGA;36594000
ARAPORÃ;38465000
ARAPUÁ;38860000
ARAÚJOS;35603000
ARAXÁ;38180001
ARCEBURGO;37820000
ARCOS;35588000
AREADO;37140000
ARGIRITA;36710000
ARICANDUVA;39678000
ARINOS;38680000
ASTOLFO DUTRA;36780000
ATALÉIA;39850000
AUGUSTO DE LIMA;39219000
BAEPENDI;37443000
BALDIM;35732000
BAMBUÍ;38900000
BANDEIRA;39917000
BANDEIRA DO SUL;37740000
BARÃO DE COCAIS;35970000
BARÃO DE MONTE ALTO;36870000
BARBACENA;36200001
BARRA LONGA;35447000
BARROSO;36212000
BELA VISTA DE MINAS;35938000
BELMIRO BRAGA;36126000
BELO HORIZONTE;30000001
BELO ORIENTE;35195000
BELO VALE;35473000
BERILO;39640000
BERIZAL;39555000
BERTÓPOLIS;39875000
BETIM;32600001
BIAS FORTES;36230000
BICAS;36600000
BIQUINHAS;35621000
BOA ESPERANÇA;37170000
BOCAINA DE MINAS;37340000
BOCAIÚVA;39390000
BOM DESPACHO;35600000
BOM JARDIM DE MINAS;37310000
BOM JESUS DA PENHA;37948000
BOM JESUS DO AMPARO;35908000
BOM JESUS DO GALHO;35340000
BOM REPOUSO;37610000
BOM SUCESSO;37220000
BONFIM;35480000
BONFINÓPOLIS DE MINAS;38650000
BONITO DE MINAS;39490000
BORDA DA MATA;37564000
BOTELHOS;37720000
BOTUMIRIM;39595000
BRÁS PIRES;36542000
BRASILÂNDIA DE MINAS;38779000
BRASÍLIA DE MINAS;39330000
BRAZÓPOLIS;37530000
BRAÚNAS;35189000
BRUMADINHO;35460000
BUENO BRANDÃO;37578000
BUENÓPOLIS;39230000
BUGRE;35193000
BURITIS;38660000
BURITIZEIRO;39280000
CABECEIRA GRANDE;38625000
CABO VERDE;37880000
CACHOEIRA DA PRATA;35765000
CACHOEIRA DE MINAS;37545000
CACHOEIRA DE PAJEÚ;39980000
CACHOEIRA DOURADA;38370000
CAETANÓPOLIS;35770000
CAETÉ;34800000
CAIANA;36832000
CAJURI;36560000
CALDAS;37780000
CAMACHO;35555000
CAMANDUCAIA;37650000
CAMBUÍ;37600000
CAMBUQUIRA;37420000
CAMPANÁRIO;39835000
CAMPANHA;37400000
CAMPESTRE;37730000
CAMPINA VERDE;38270000
CAMPO AZUL;39338000
CAMPO BELO;37270000
CAMPO DO MEIO;37165000
CAMPO FLORIDO;38130000
CAMPOS ALTOS;38970000
CAMPOS GERAIS;37160000
CANA VERDE;37267000
CANAÃ;36592000
CANÁPOLIS;38380000
CANDEIAS;37280000
CANTAGALO;39703000
CAPARAÓ;36834000
CAPELA NOVA;36290000
CAPELINHA;39680000
CAPETINGA;37993000
CAPIM BRANCO;35730000
CAPINÓPOLIS;38360000
CAPITÃO ANDRADE;35123000
CAPITÃO ENÉAS;39472000
CAPITÓLIO;37930000
CAPUTIRA;36925000
CARAÍ;39810000
CARANAÍBA;36428000
CARANDAÍ;36280000
CARANGOLA;36800000
CARATINGA;35300001
CARBONITA;39665000
CAREAÇU;37582000
CARLOS CHAGAS;39864000
CARMÉSIA;35878000
CARMO DA CACHOEIRA;37225000
CARMO DA MATA;35547000
CARMO DE MINAS;37472000
CARMO DO CAJURU;35557000
CARMO DO PARANAÍBA;38840000
CARMO DO RIO CLARO;37150000
CARMÓPOLIS DE MINAS;35534000
CARNEIRINHO;38290000
CARRANCAS;37245000
CARVALHÓPOLIS;37760000
CARVALHOS;37456000
CASA GRANDE;36422000
CASCALHO RICO;38460000
CÁSSIA;37980000
CATAGUASES;36770001
CATAS ALTAS;35969000
CATAS ALTAS DA NORUEGA;36450000
CATUJI;39816000
CATUTI;39526000
CAXAMBU;37440000
CEDRO DO ABAETÉ;35624000
CENTRAL DE MINAS;35260000
CENTRALINA;38390000
CHÁCARA;36110000
CHALÉ;36985000
CHAPADA DO NORTE;39648000
CHAPADA GAÚCHA;39314000
CHIADOR;36630000
CIPOTÂNEA;36265000
CLARAVAL;37997000
CLARO DOS POÇÕES;39380000
CLÁUDIO;35530000
COIMBRA;36550000
COLUNA;39770000
COMENDADOR GOMES;38250000
COMERCINHO;39628000
CONCEIÇÃO DA APARECIDA;37148000
CONCEIÇÃO DA BARRA DE MINAS;36360000
CONCEIÇÃO DAS ALAGOAS;38120000
CONCEIÇÃO DAS PEDRAS;37527000
CONCEIÇÃO DE IPANEMA;36947000
CONCEIÇÃO DO MATO DENTRO;35858000
CONCEIÇÃO DO PARÁ;35668000
CONCEIÇÃO DO RIO VERDE;37430000
CONCEIÇÃO DOS OUROS;37548000
CÔNEGO MARINHO;39489000
CONFINS;33500000
CONGONHAL;37584000
CONGONHAS;36415000
CONGONHAS DO NORTE;35850000
CONQUISTA;38195000
CONSELHEIRO LAFAIETE;36400000
CONSELHEIRO PENA;35240000
CONSOLAÇÃO;37670000
CONTAGEM;32000001
COQUEIRAL;37235000
CORAÇÃO DE JESUS;39340000
CORDISBURGO;35780000
CORDISLÂNDIA;37498000
CORINTO;39200000
COROACI;39710000
COROMANDEL;38550000
CORONEL FABRICIANO;35170001
CORONEL MURTA;39635000
CORONEL PACHECO;36155000
CORONEL XAVIER CHAVES;36330000
CÓRREGO DANTA;38990000
CÓRREGO DO BOM JESUS;37605000
CÓRREGO FUNDO;35578000
CÓRREGO NOVO;35345000
COUTO DE MAGALHÃES DE MINAS;39188000
CRISÓLITA;39885000
CRISTAIS;37275000
CRISTÁLIA;39598000
CRISTIANO OTONI;36426000
CRISTINA;37476000
CRUCILÂNDIA;35478000
CRUZEIRO DA FORTALEZA;38735000
CRUZÍLIA;37445000
CUPARAQUE;35246000
CURRAL DE DENTRO;39569000
CURVELO;35789000
DATAS;39130000
DELFIM MOREIRA;37514000
DELFINÓPOLIS;37910000
DELTA;38108000
DESCOBERTO;36690000
DESTERRO DE ENTRE RIOS;35492000
DESTERRO DO MELO;36210000
DIAMANTINA;39100000
DIOGO DE VASCONCELOS;35437000
DIONÍSIO;35984000
DIVINÉSIA;36546000
DIVINO;36820000
DIVINO DAS LARANJEIRAS;35265000
DIVINOLÂNDIA DE MINAS;39735000
DIVINÓPOLIS;35500001
DIVISA ALEGRE;39995000
DIVISA NOVA;37142000
DIVISÓPOLIS;39912000
DOM BOSCO;38654000
DOM CAVATI;35148000
DOM JOAQUIM;35865000
DOM SILVÉRIO;35440000
DOM VIÇOSO;37474000
DONA EUZÉBIA;36784000
DORES DE CAMPOS;36213000
DORES DE GUANHÃES;35894000
DORES DO INDAIÁ;35610000
DORES DO TURVO;36513000
DORESÓPOLIS;37926000
DOURADOQUARA;38530000
DURANDÉ;36974000
ELÓI MENDES;37110000
ENGENHEIRO CALDAS;35130000
ENGENHEIRO NAVARRO;39363000
ENTRE FOLHAS;35324000
ENTRE RIOS DE MINAS;35490000
ERVÁLIA;36555000
ESMERALDAS;35740000
ESPERA FELIZ;36830000
ESPINOSA;39510000
ESPÍRITO SANTO DO DOURADO;37566000
ESTIVA;37542000
ESTRELA DALVA;36725000
ESTRELA DO INDAIÁ;35613000
ESTRELA DO SUL;38525000
EUGENÓPOLIS;36855000
EWBANK DA CÂMARA;36108000
EXTREMA;37640000
FAMA;37144000
FARIA LEMOS;36840000
FELÍCIO DOS SANTOS;39180000
FELISBURGO;39895000
FELIXLÂNDIA;39237000
FERNANDES TOURINHO;35135000
FERROS;35800000
FERVEDOURO;36815000
FLORESTAL;35690000
FORMIGA;35570000
FORMOSO;38690000
FORTALEZA DE MINAS;37905000
FORTUNA DE MINAS;35760000
FRANCISCO BADARÓ;39644000
FRANCISCO DUMONT;39387000
FRANCISCO SÁ;39580000
FRANCISCÓPOLIS;39695000
FREI GASPAR;39840000
FREI INOCÊNCIO;35112000
FREI LAGONEGRO;39708000
FRONTEIRA;38230000
FRONTEIRA DOS VALES;39870000
FRUTA DE LEITE;39558000
FRUTAL;38200000
FUNILÂNDIA;35736000
GALILÉIA;35250000
GAMELEIRAS;39505000
GLAUCILÂNDIA;39592000
GOIABEIRA;35248000
GOIANÁ;36152000
GONÇALVES;37680000
GONZAGA;39720000
GOUVEIA;39120000
GOVERNADOR VALADARES;35000001
GRÃO MOGOL;39570000
GRUPIARA;38470000
GUANHÃES;39740000
GUAPÉ;37177000
GUARACIABA;35436000
GUARACIAMA;39397000
GUARANÉSIA;37810000
GUARANI;36160000
GUARARÁ;36606000
GUARDAMOR;38570000
GUAXUPÉ;37800000
GUIDOVAL;36515000
GUIMARÂNIA;38730000
GUIRICEMA;36525000
GURINHATÃ;38310000
HELIODORA;37484000
IAPU;35190000
IBERTIOGA;36225000
IBIÁ;38950000
IBIAÍ;39350000
IBIRACATU;39455000
IBIRACI;37990000
IBIRITÉ;32400000
IBITIÚRA DE MINAS;37790000
IBITURUNA;37223000
ICARAÍ DE MINAS;39318000
IGARAPÉ;32900000
IGARATINGA;35695000
IGUATAMA;38910000
IJACI;37218000
ILICÍNEA;37175000
IMBÉ DE MINAS;35323000
INCONFIDENTES;37576000
INDAIABIRA;39536000
INDIANÓPOLIS;38490000
INGAÍ;37215000
INHAPIM;35330000
INHAÚMA;35763000
INIMUTABA;39243000
IPABA;35198000
IPANEMA;36950000
IPATINGA;35150001
IPIAÇU;38350000
IPUIÚNA;37588000
IRAÍ DE MINAS;38510000
ITABIRA;35900001
ITABIRINHA;35280000
ITABIRITO;35450000
ITACAMBIRA;39594000
ITACARAMBI;39470000
ITAGUARA;35488000
ITAIPÉ;39815000
ITAJUBÁ;37500001
ITAMARANDIBA;39670000
ITAMARATI DE MINAS;36788000
ITAMBACURI;39830000
ITAMBÉ DO MATO DENTRO;35820000
ITAMOGI;37973000
ITAMONTE;37466000
ITANHANDU;37464000
ITANHOMI;35120000
ITAOBIM;39625000
ITAPAGIPE;38240000
ITAPECERICA;35550000
ITAPEVA;37655000
ITATIAIUÇU;35685000
ITAÚ DE MINAS;37975000
ITAÚNA;35680001
ITAVERAVA;36440000
ITINGA;39610000
ITUETA;35220000
ITUIUTABA;38300001
ITUMIRIM;37210000
ITURAMA;38280000
ITUTINGA;36390000
JABOTICATUBAS;35830000
JACINTO;39930000
JACUÍ;37965000
JACUTINGA;37590000
JAGUARAÇU;35188000
JAÍBA;39508000
JAMPRUCA;39837000
JANAÚBA;39440000
JANUÁRIA;39480000
JAPARAÍBA;35580000
JAPONVAR;39335000
JECEABA;35497000
JENIPAPO DE MINAS;39645000
JEQUERI;35390000
JEQUITAÍ;39370000
JEQUITIBÁ;35767000
JEQUITINHONHA;39960000
JESUÂNIA;37485000
JOAÍMA;39890000
JOANÉSIA;35194000
JOÃO MONLEVADE;35930001
JOÃO PINHEIRO;38770000
JOAQUIM FELÍCIO;39240000
JORDÂNIA;39920000
JOSÉ GONÇALVES DE MINAS;39642000
JOSÉ RAYDAN;39775000
JOSENÓPOLIS;39575000
JUATUBA;35675000
JUIZ DE FORA;36000001
JURAMENTO;39590000
JURUAIA;37805000
JUVENÍLIA;39467000
LADAINHA;39825000
LAGAMAR;38785000
LAGOA DA PRATA;35590000
LAGOA DOS PATOS;39360000
LAGOA DOURADA;36345000
LAGOA FORMOSA;38720000
LAGOA GRANDE;38755000
LAGOA SANTA;33400000
LAJINHA;36980000
LAMBARI;37480000
LAMIM;36455000
LARANJAL;36760000
LASSANCE;39250000
LAVRAS;37200000
LEANDRO FERREIRA;35657000
LEME DO PRADO;39655000
LEOPOLDINA;36700000
LIBERDADE;37350000
LIMA DUARTE;36140000
LIMEIRA DO OESTE;38295000
LONTRA;39437000
LUISBURGO;36923000
LUISLÂNDIA;39336000
LUMINÁRIAS;37240000
LUZ;35595000
MACHACALIS;39873000
MACHADO;37750000
MADRE DE DEUS DE MINAS;37305000
MALACACHETA;39690000
MAMONAS;39516000
MANGA;39460000
MANHUAÇU;36900000
MANHUMIRIM;36970000
MANTENA;35290000
MAR DE ESPANHA;36640000
MARAVILHAS;35666000
MARIA DA FÉ;37517000
MARIANA;35420000
MARILAC;35115000
MÁRIO CAMPOS;32470000
MARIPÁ DE MINAS;36608000
MARLIÉRIA;35185000
MARMELÓPOLIS;37516000
MARTINHO CAMPOS;35606000
MARTINS SOARES;36972000
MATA VERDE;39915000
MATERLÂNDIA;39755000
MATEUS LEME;35670000
MATHIAS LOBATO;35110000
MATIAS BARBOSA;36120000
MATIAS CARDOSO;39478000
MATIPÓ;35367000
MATO VERDE;39527000
MATOZINHOS;35720000
MATUTINA;38870000
MEDEIROS;38930000
MEDINA;39620000
MENDES PIMENTEL;35270000
MERCÊS;36190000
MESQUITA;35116000
MINAS NOVAS;39650000
MINDURI;37447000
MIRABELA;39373000
MIRADOURO;36893000
MIRAÍ;36790000
MIRAVÂNIA;39465000
MOEDA;35470000
MOEMA;35604000
MONJOLOS;39215000
MONSENHOR PAULO;37405000
MONTALVÂNIA;39495000
MONTE ALEGRE DE MINAS;38475000
MONTE AZUL;39500000
MONTE BELO;37115000
MONTE CARMELO;38500000
MONTE FORMOSO;39893000
MONTE SANTO DE MINAS;37968000
MONTE SIÃO;37580000
MONTES CLAROS;39400001
MONTEZUMA;39547000
MORADA NOVA DE MINAS;35628000
MORRO DA GARÇA;39248000
MORRO DO PILAR;35875000
MUNHOZ;37620000
MURIAÉ;36880000
MUTUM;36955000
MUZAMBINHO;37890000
NACIP RAYDAN;39718000
NANUQUE;39860000
NAQUE;35117000
NATALÂNDIA;38658000
NATÉRCIA;37524000
NAZARENO;36370000
NEPOMUCENO;37250000
NINHEIRA;39553000
NOVA BELÉM;35298000
NOVA ERA;35920000
NOVA LIMA;34000000
NOVA MÓDICA;35113000
NOVA PONTE;38160000
NOVA PORTEIRINHA;39525000
NOVA RESENDE;37860000
NOVA SERRANA;35517000
NOVA UNIÃO;34990000
NOVO CRUZEIRO;39820000
NOVO ORIENTE DE MINAS;39817000
NOVORIZONTE;39568000
OLARIA;36145000
OLHOS D'ÁGUA;39398000
OLÍMPIO NORONHA;37488000
OLIVEIRA;35540000
OLIVEIRA FORTES;36250000
ONÇA DE PITANGUI;35655000
ORATÓRIOS;35439000
ORIZÂNIA;36828000
OURO BRANCO;36420000
OURO FINO;37570000
OURO PRETO;35400000
OURO VERDE DE MINAS;39855000
PADRE CARVALHO;39573000
PADRE PARAÍSO;39818000
PAI PEDRO;39517000
PAINEIRAS;35622000
PAINS;35582000
PAIVA;36195000
PALMA;36750000
PALMÓPOLIS;39945000
PAPAGAIOS;35669000
PARÁ DE MINAS;35660001
PARACATU;38600000
PARAGUAÇU;37120000
PARAISÓPOLIS;37660000
PARAOPEBA;35774000
PASSA QUATRO;37460000
PASSA TEMPO;35537000
PASSA VINTE;37330000
PASSABÉM;35810000
PASSOS;37900001
PATIS;39378000
PATOS DE MINAS;38700001
PATROCÍNIO;38740001
PATROCÍNIO DO MURIAÉ;36860000
PAULA CÂNDIDO;36544000
PAULISTAS;39765000
PAVÃO;39814000
PEÇANHA;39700000
PEDRA AZUL;39970000
PEDRA BONITA;35364000
