LOCALIDADE;CEP INICIAL
ANTAS;48420000
ANTÔNIO CARDOSO;44180000
ANTÔNIO GONÇALVES;44780000
APORÁ;48350000
APUAREMA;45355000
ARAÇÁS;48108000
ARACATU;46130000
ARACI;48760000
ARAMARI;48130000
ARATACA;45695000
ARATUÍPE;44490000
AURELINO LEAL;45675000
BAIANÓPOLIS;47830000
BAIXA GRANDE;44620000
BANZAÊ;48405000
BARRA;47100000
BARRA DA ESTIVA;46650000
BARRA DO CHOÇA;45120000
BARRA DO MENDES;44990000
BARRA DO ROCHA;45560000
BARREIRAS;47800001
BARRO ALTO;44895000
BARRO PRETO;45625000
BARROCAS;48705000
BELMONTE;45800000
BELO CAMPO;45160000
BIRITINGA;48780000
BOA NOVA;45250000
BOA VISTA DO TUPIM;46850000
BOM JESUS DA LAPA;47600000
BOM JESUS DA SERRA;45263000
BONINAL;46740000
BONITO;46820000
BOQUIRA;46530000
BOTUPORÃ;46570000
BREJÕES;45325000
BREJOLÂNDIA;47750000
BROTAS DE MACAÚBAS;47560000
BRUMADO;46100000
BUERAREMA;45615000
BURITIRAMA;47120000
CAATIBA;45130000
CABACEIRAS DO PARAGUAÇU;44345000
CACHOEIRA;44300000
CACULÉ;46300000
CAÉM;44730000
CAETANOS;45265000
CAETITÉ;46400000
CAFARNAUM;44880000
CAIRU;45420000
CALDEIRÃO GRANDE;44750000
CAMACAN;45880000
CAMAÇARI;42800001
CAMAMU;45445000
CAMPO ALEGRE DE LOURDES;47220000
CAMPO FORMOSO;44790000
CANÁPOLIS;47730000
CANARANA;44890000
CANAVIEIRAS;45860000
CANDEAL;48710000
CANDEIAS;43800001
CANDIBA;46380000
CÂNDIDO SALES;45157000
CANSANÇÃO;48840000
CANUDOS;48520000
CAPELA DO ALTO ALEGRE;44645000
CAPIM GROSSO;44695000
CARAÍBAS;45177000
CARAVELAS;45900000
CARDEAL DA SILVA;48390000
CARINHANHA;46445000
CASA NOVA;47300000
CASTRO ALVES;44500000
CATOLÂNDIA;47845000
CATU;48110000
CATURAMA;46575000
CENTRAL;44940000
CHORROCHÓ;48660000
CÍCERO DANTAS;48410000
CIPÓ;48450000
COARACI;45638000
COCOS;47680000
CONCEIÇÃO DA FEIRA;44320000
CONCEIÇÃO DO ALMEIDA;44540000
CONCEIÇÃO DO COITÉ;48730000
CONCEIÇÃO DO JACUÍPE;44245000
CONDE;48300000
CONDEÚBA;46200000
CONTENDAS DO SINCORÁ;46620000
CORAÇÃO DE MARIA;44250000
CORDEIROS;46280000
CORIBE;47690000
CORONEL JOÃO SÁ;48590000
CORRENTINA;47650000
COTEGIPE;47900000
CRAVOLÂNDIA;45330000
CRISÓPOLIS;48480000
CRISTÓPOLIS;47950000
CRUZ DAS ALMAS;44380000
CURAÇÁ;48930000
DÁRIO MEIRA;45590000
DIAS D'ÁVILA;42850000
DOM BASÍLIO;46165000
DOM MACEDO COSTA;44560000
ELÍSIO MEDRADO;45305000
ENCRUZILHADA;45150000
ENTRE RIOS;48180000
ÉRICO CARDOSO;46180000
ESPLANADA;48370000
EUCLIDES DA CUNHA;48500000
EUNÁPOLIS;45820001
FÁTIMA;48415000
FEIRA DA MATA;46446000
FEIRA DE SANTANA;44000001
FILADÉLFIA;44775000
FIRMINO ALVES;45720000
FLORESTA AZUL;45740000
FORMOSA DO RIO PRETO;47990000
GANDU;45450000
GAVIÃO;44650000
GENTIO DO OURO;47450000
GLÓRIA;48620000
GONGOGI;45540000
GOVERNADOR MANGABEIRA;44350000
GUAJERU;46205000
GUANAMBI;46430000
GUARATINGA;45840000
HELIÓPOLIS;48445000
IAÇU;46860000
IBIASSUCÊ;46390000
IBICARAÍ;45745000
IBICOARA;46760000
IBICUÍ;45290000
IBIPEBA;44970000
IBIPITANGA;46540000
IBIQUERA;46840000
IBIRAPITANGA;45500000
IBIRAPUÃ;45940000
IBIRATAIA;45580000
IBITIARA;46700000
IBITITÁ;44960000
IBOTIRAMA;47520000
ICHU;48725000
IGAPORÃ;46490000
IGRAPIÚNA;45443000
IGUAÍ;45280000
ILHÉUS;45650001
INHAMBUPE;48490000
IPECAETÁ;44680000
IPIAÚ;45570000
IPIRÁ;44600000
IPUPIARA;47590000
IRAJUBA;45370000
IRAMAIA;46770000
IRAQUARA;46980000
IRARÁ;44255000
IRECÊ;44900000
ITABELA;45848000
ITABERABA;46880000
ITABUNA;45600001
ITACARÉ;45530000
ITAETÉ;46790000
ITAGI;45230000
ITAGIBÁ;45585000
ITAGIMIRIM;45850000
ITAGUAÇU DA BAHIA;47440000
ITAJU DO COLÔNIA;45730000
ITAJUÍPE;45630000
ITAMARAJU;45836000
ITAMARI;45455000
ITAMBÉ;45140000
ITANAGRA;48290000
ITANHÉM;45970000
ITAPARICA;44460000
ITAPÉ;45750000
ITAPEBI;45855000
ITAPETINGA;45700000
ITAPICURU;48475000
ITAPITANGA;45645000
ITAQUARA;45340000
ITARANTIM;45780000
ITATIM;46875000
ITIRUÇU;45350000
ITIÚBA;48850000
ITORORÓ;45710000
ITUAÇU;46640000
ITUBERÁ;45435000
IUIU;46438000
JABORANDI;47655000
JACARACI;46310000
JACOBINA;44700000
JAGUAQUARA;45345000
JAGUARARI;48960000
JAGUARIPE;44480000
JANDAÍRA;48310000
JEQUIÉ;45200001
JEQUIRIÇÁ;45470000
JEREMOABO;48540000
JITAÚNA;45225000
JOÃO DOURADO;44920000
JUAZEIRO;48900001
JUCURUÇU;45834000
JUSSARA;44925000
JUSSARI;45622000
JUSSIAPE;46670000
LAFAIETE COUTINHO;45215000
LAGOA REAL;46425000
LAJE;45490000
LAJEDÃO;45950000
LAJEDINHO;46825000
LAJEDO DO TABOCAL;45365000
LAMARÃO;48720000
LAPÃO;44905000
LAURO DE FREITAS;42700000
LENÇÓIS;46960000
LICÍNIO DE ALMEIDA;46330000
LIVRAMENTO DE NOSSA SENHORA;46140000
LUÍS EDUARDO MAGALHÃES;47850000
MACAJUBA;46805000
MACARANI;45760000
MACAÚBAS;46500000
MACURURÉ;48650000
MADRE DE DEUS;42600000
